4RZFJC2,CRUISES,pc07124,Yes,5.00.9106.1000,CarnivalJapan,Dell Inc.,Latitude E7470,4RZFJC2,5/23/2023,Microsoft Windows 10 Enterprise,10.0.19044
AMOSUAT,CRUISES,ppr6645-2,Yes,5.00.9106.1000,DCC-Dallas,"VMware, Inc.",VMware Virtual Platform,VMware-42 15 8d 25 c4 1d dc bf-7a 32 80 4e df 25 21 6d,5/23/2023,Microsoft Windows Server 2019 Standard,10.0.17763
AP-AIMS,AP,aphcmpo1,Yes,5.00.9106.1000,GrandPrincess,"VMware, Inc.",VMware Virtual Platform,VMware-42 22 d3 41 68 58 e9 f2-5a f0 c8 14 81 0c d1 05,5/22/2023,Microsoft Windows Server 2012 R2 Standard,6.3.9600
APAIRWDMZ,WORKGROUP,Administrator,Yes,5.00.9106.1000,NULL,"VMware, Inc.",VMware Virtual Platform,VMware-42 36 ef aa d1 45 55 07-32 cc bb 7d ec 82 9a 4a,5/23/2023,Microsoft Windows Server 2016 Standard,10.0.14393
APAIRWINT,AP,aphcmpo1,Yes,5.00.9106.1000,GrandPrincess,"VMware, Inc.",VMware Virtual Platform,VMware-42 36 dc f0 06 c6 2f ec-27 b1 6d 6f ba f0 78 ec,5/23/2023,Microsoft Windows Server 2016 Standard,10.0.14393
APAMOS01,AP,aphcmpo1,Yes,5.00.9106.1000,GrandPrincess,"VMware, Inc.",VMware Virtual Platform,VMware-42 36 c4 41 c5 ab 9f 22-c8 d6 a2 b4 13 84 f2 eb,5/23/2023,Microsoft Windows Server 2019 Standard,10.0.17763
APAMOS02,AP,aphcmpo1,Yes,5.00.9106.1000,GrandPrincess,"VMware, Inc.",VMware Virtual Platform,VMware-42 36 34 39 0b 10 d0 3c-80 41 f3 9e 76 a1 b3 ad,5/23/2023,Microsoft Windows Server 2019 Standard,10.0.17763
APARCSIGHT,AP,aphcmpo1,Yes,5.00.9106.1000,GrandPrincess,"VMware, Inc.",VMware Virtual Platform,VMware-42 22 cb 62 8b 5d 75 e2-99 c2 d3 16 21 70 f7 7c,5/23/2023,Microsoft Windows Server 2012 R2 Standard,6.3.9600
AP-ART-DIRLAP,AP,aphart1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,Latitude E7470,1GYZJC2,5/16/2023,Microsoft Windows 10 Enterprise,10.0.19044
APARTOFF1,AP,APHART1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3040,3TKYQD2,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
APBAGS,AP,aphcmpo1,Yes,5.00.9106.1000,GrandPrincess,"VMware, Inc.",VMware Virtual Platform,VMware-42 36 17 ae 25 53 3d 00-9f 27 67 e0 74 6f 48 27,5/22/2023,Microsoft Windows Server 2016 Standard,10.0.14393
AP-BOUTIQ-STR1,AP,aphgifa2,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3040,DVW8HK2,5/10/2023,Microsoft Windows 10 Enterprise,10.0.19044
AP-BRIDGE1,AP,NULL,Yes,5.00.8853.1006,GrandPrincess,LENOVO,9960ALU,MJEPTEB,5/23/2023,Microsoft Windows 7 Professional,6.1.7601
AP-BRIDGE2-TAB,AP,aphcmpo2,No,5.00.9078.1006,GrandPrincess,Dell Inc.,Latitude 5175,CHRH3G2,4/5/2023,Microsoft Windows 10 Enterprise,10.0.10240
AP-BTQ-ASSTMGR,AP,aphgifa2,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,7BD2X63,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
AP-BTQCRW-STR2,AP,NULL,No,5.00.9078.1006,GrandPrincess,Dell Inc.,OptiPlex 3040,877TSD2,1/11/2023,Microsoft Windows 10 Enterprise,10.0.19044
APBTQEFFYLAP1,AP,aphfjspc,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,Latitude 5420,BFD91J3,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
AP-BTQ-MGR,AP,aphgifa1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,7JY2X63,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
APBTQWATCHLAP,AP,aphplect,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,Latitude 5400,63J12R2,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
APCASCAGE1,AP,apcage2,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,7B47X63,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
