4RZFJC2,4RZFJC2,Dell Inc.,Latitude E7470,Microsoft Windows 10 Enterprise,,CarnivalJapan,,pc07124,SCCM,5/23/2023
AMOSUAT,VMware-42 15 8d 25 c4 1d dc bf-7a 32 80 4e df 25 21 6d,"VMware, Inc.",VMware Virtual Platform,Microsoft Windows Server 2019 Standard,,DCC-Dallas,,ppr6645-2,SCCM,5/23/2023
AP-AIMS,VMware-42 22 d3 41 68 58 e9 f2-5a f0 c8 14 81 0c d1 05,"VMware, Inc.",VMware Virtual Platform,Microsoft Windows Server 2012 R2 Standard,,GrandPrincess,,aphcmpo1,SCCM,5/22/2023
APAIRWDMZ,VMware-42 36 ef aa d1 45 55 07-32 cc bb 7d ec 82 9a 4a,"VMware, Inc.",VMware Virtual Platform,Microsoft Windows Server 2016 Standard,,NULL,,Administrator,SCCM,5/23/2023
APAIRWINT,VMware-42 36 dc f0 06 c6 2f ec-27 b1 6d 6f ba f0 78 ec,"VMware, Inc.",VMware Virtual Platform,Microsoft Windows Server 2016 Standard,,GrandPrincess,,aphcmpo1,SCCM,5/23/2023
APAMOS01,VMware-42 36 c4 41 c5 ab 9f 22-c8 d6 a2 b4 13 84 f2 eb,"VMware, Inc.",VMware Virtual Platform,Microsoft Windows Server 2019 Standard,,GrandPrincess,,aphcmpo1,SCCM,5/23/2023
APAMOS02,VMware-42 36 34 39 0b 10 d0 3c-80 41 f3 9e 76 a1 b3 ad,"VMware, Inc.",VMware Virtual Platform,Microsoft Windows Server 2019 Standard,,GrandPrincess,,aphcmpo1,SCCM,5/23/2023
APARCSIGHT,VMware-42 22 cb 62 8b 5d 75 e2-99 c2 d3 16 21 70 f7 7c,"VMware, Inc.",VMware Virtual Platform,Microsoft Windows Server 2012 R2 Standard,,GrandPrincess,,aphcmpo1,SCCM,5/23/2023
AP-ART-DIRLAP,1GYZJC2,Dell Inc.,Latitude E7470,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphart1,SCCM,5/16/2023
APARTOFF1,3TKYQD2,Dell Inc.,OptiPlex 3040,Microsoft Windows 10 Enterprise,,GrandPrincess,,APHART1,SCCM,5/22/2023
APBAGS,VMware-42 36 17 ae 25 53 3d 00-9f 27 67 e0 74 6f 48 27,"VMware, Inc.",VMware Virtual Platform,Microsoft Windows Server 2016 Standard,,GrandPrincess,,aphcmpo1,SCCM,5/22/2023
AP-BOUTIQ-STR1,DVW8HK2,Dell Inc.,OptiPlex 3040,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphgifa2,SCCM,5/10/2023
AP-BRIDGE1,MJEPTEB,LENOVO,9960ALU,Microsoft Windows 7 Professional,,GrandPrincess,,NULL,SCCM,5/23/2023
AP-BRIDGE2-TAB,CHRH3G2,Dell Inc.,Latitude 5175,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphcmpo2,SCCM,4/5/2023
AP-BTQ-ASSTMGR,7BD2X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphgifa2,SCCM,5/22/2023
AP-BTQCRW-STR2,877TSD2,Dell Inc.,OptiPlex 3040,Microsoft Windows 10 Enterprise,,GrandPrincess,,NULL,SCCM,1/11/2023
APBTQEFFYLAP1,BFD91J3,Dell Inc.,Latitude 5420,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphfjspc,SCCM,5/22/2023
AP-BTQ-MGR,7JY2X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphgifa1,SCCM,5/22/2023
APBTQWATCHLAP,63J12R2,Dell Inc.,Latitude 5400,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphplect,SCCM,5/22/2023
APCASCAGE1,7B47X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,apcage2,SCCM,5/22/2023
APCASCAGE2,7JV9X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,apcage2,SCCM,5/22/2023
APCASCAGE3,G7YBX53,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,apcage1,SCCM,5/22/2023
AP-CAS-CASHLAP,H1C12R2,Dell Inc.,Latitude 5400,Microsoft Windows 10 Enterprise,,GrandPrincess,,apcage1,SCCM,5/23/2023
