Name,OperatingSystem,OperatingSystemServicePack,OperatingSystemVersion,canonicalName,PasswordLastSet,Created
PCLSEAPRDDC01,Windows Server 2012 R2 Standard,,6.3 (9600),cruises.princess.com/Computers/PCLSEAPRDDC01,12/5/2021 14:34,8/31/2016 14:09
NTPC9115-OLD,Windows Server 2012 R2 Datacenter,,6.3 (9600),cruises.princess.com/Computers/NTPC9115-OLD,12/22/2021 12:34,9/15/2015 9:38
PCLAWSDC02,Windows Server 2016 Datacenter,,10.0 (14393),cruises.princess.com/Domain Controllers/PCLAWSDC02,4/19/2023 3:31,11/19/2018 10:36
PCLMONPRDDC02,Windows Server 2012 R2 Standard,,6.3 (9600),cruises.princess.com/Domain Controllers/PCLMONPRDDC02,12/21/2021 14:56,12/19/2017 12:23
PCLAWSDC01,Windows Server 2016 Datacenter,,10.0 (14393),cruises.princess.com/Domain Controllers/PCLAWSDC01,4/22/2023 7:53,11/19/2018 10:17
PCLALMPRDDC02,Windows Server 2012 R2 Standard,,6.3 (9600),cruises.princess.com/Computers/PCLALMPRDDC02,12/4/2021 23:07,12/8/2017 7:19
PCLMONPRDDC01,Windows Server 2012 R2 Standard,,6.3 (9600),cruises.princess.com/Domain Controllers/PCLMONPRDDC01,11/24/2021 11:21,12/21/2017 8:46
PCLSINCODC01,Windows Server 2016 Standard,,10.0 (14393),cruises.princess.com/Domain Controllers/PCLSINCODC01,5/16/2023 10:01,7/11/2018 19:13
NTPC1671,Windows Server 2012 R2 Standard,,6.3 (9600),cruises.princess.com/Computers/NTPC1671,1/1/2022 17:50,10/6/2017 18:34
PCLSINCODC02,Windows Server 2016 Standard,,10.0 (14393),cruises.princess.com/Domain Controllers/PCLSINCODC02,5/14/2023 4:20,7/6/2018 11:21
PCLDCWPRDDC01,Windows Server 2016 Standard,,10.0 (14393),cruises.princess.com/Domain Controllers/PCLDCWPRDDC01,5/17/2023 2:03,8/14/2019 12:44
PCLJPNDC01,Windows Server 2016 Standard,,10.0 (14393),cruises.princess.com/Domain Controllers/PCLJPNDC01,4/25/2023 10:44,1/25/2020 12:46
